5 4 3 10 + - - - + -,B : - 12,C : - 4,D : 16,E : None of these
Question 2,,,,
= ÷ - ÷ - 8 6 96,= ÷ - ÷ - 8 6 96,= ÷ - ÷ - 8 6 96,= ÷ - ÷ - 8 6 96,= ÷ - ÷ - 8 6 96
A : 2,B : 12,C : - 12,D : - 2,E : None of these
Question 3,Question 3,,,
Jo bought a used car for $6000 and paid 15% deposit. How much did he still have to pay?,Jo bought a used car for $6000 and paid 15% deposit. How much did he still have to pay?,Jo bought a used car for $6000 and paid 15% deposit. How much did he still have to pay?,Jo bought a used car for $6000 and paid 15% deposit. How much did he still have to pay?,Jo bought a used car for $6000 and paid 15% deposit. How much did he still have to pay?
A : $900,B : $5000,C : $4500,D : $5100,E : None of these
Question 4,Question 4,,,
= - ÷ + - - ×- 8 16 12) (8 2 5,= - ÷ + - - ×- 8 16 12) (8 2 5,= - ÷ + - - ×- 8 16 12) (8 2 5,= - ÷ + - - ×- 8 16 12) (8 2 5,= - ÷ + - - ×- 8 16 12) (8 2 5
A : 6,B : - 8,C : - 16,D : - 6,E : None of these
Question 5,Question 5,,,
What is 8% of $600?,What is 8% of $600?,What is 8% of $600?,What is 8% of $600?,What is 8% of $600?
A : $580,B : $480,C : $48,D : $58,E : None of these
Question 6,Question 6,Question 6,Question 6,Question 6
Which is the longest distance?,Which is the longest distance?,Which is the longest distance?,Which is the longest distance?,Which is the longest distance?
A : 3500cm,B : 65.5m,C : 75000mm,D : 15.5m,E : 0.1km
